enbname,mrbtsid,lncelid,version,expectedcellsize,tac,actfastmimoswitch,dlmimomode,earfcndl,earfcnul,prachcs,prachconfindex,rootseqindex,bandwidth
ESCRHLTE06,205,2053,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9610,27610,12,21,120,50
ESCRHLTE14,209,2093,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,21,240,100
ESCRBLTE04,200,2001,FLF17A_1701_07_1701_06,10km,100,true,Closed Loop Mimo,2950,20950,4,3,0,50
ESCRHLTE15,210,2101,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,19,250,50
ESCRHLTE11,208,2083,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,21,210,100
ESCRLLTE09,214,2141,FLF17A_1701_07_1701_06,10km,100,true,Closed Loop Mimo,2900,20900,4,3,40,50
ESCRHLTE07,206,2063,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,21,150,50
ESCRFLTE13,204,2043,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,21,90,100
ESCRFLTE12,203,2033,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,21,60,100
ESCRLLTE01,211,2111,FLF17A_1701_07_1701_06,10km,100,true,Closed Loop Mimo,2950,20950,4,3,10,25
ESCRLLTE10,215,2151,FLF17A_1701_07_1701_06,15km,100,true,Closed Loop Mimo,2900,20900,4,3,50,50
ESCRHLTE08,207,2073,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,21,180,100
ESCRLLTE03,213,2131,FLF17A_1701_07_1701_06,10km,100,true,Closed Loop Mimo,2950,20950,4,3,30,25
ESCRBLTE05,202,2023,FL17A_1701_07_1701_06,10km,100,true,Closed Loop MIMO (4x2),9635,27635,12,21,20,50
ESCRLLTE02,212,2121,FLF17A_1701_07_1701_06,10km,100,true,Closed Loop Mimo,2950,20950,4,3,20,25
